,title,ratings,awards,rated,runtime,genere,metascore,imdbRating,imdbVotes,imdbID,nominations
183,Ramona and Beezus,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",1 win & 4 nominations.,G,103 min,"Comedy, Drama, Family, Fantasy",56.0,6.5,"16,489",tt0493949,4
184,Leap Year,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",,PG,100 min,"Comedy, Romance",33.0,6.5,"89,181",tt1216492,
185,You Again,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",2 wins.,PG,105 min,"Comedy, Romance",28.0,5.8,"47,707",tt1414382,
186,Piranha 3D,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",2 wins & 12 nominations.,R,88 min,"Comedy, Horror",53.0,5.4,"83,188",tt0464154,12
187,Lottery Ticket,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",,PG-13,99 min,Comedy,50.0,5.0,"10,222",tt0979434,
188,The Spy Next Door,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",2 nominations.,PG,94 min,"Action, Comedy, Family",27.0,5.4,"38,094",tt1273678,2
189,From Paris With Love,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",,R,92 min,"Action, Crime, Thriller",42.0,6.5,"108,795",tt1179034,
190,The Losers,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",1 win & 7 nominations.,PG-13,97 min,"Action, Adventure, Crime, Mystery, Thriller",44.0,6.3,"87,444",tt0480255,7
191,Harry Potter and the Deathly Hallows:…,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",Nominated for 3 Oscars. Another 45 wins & 91 nominations.,PG-13,130 min,"Adventure, Drama, Fantasy, Mystery",87.0,8.1,"718,729",tt1201607,91
192,Transformers: Dark of the Moon,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",Nominated for 3 Oscars. Another 10 wins & 39 nominations.,PG-13,154 min,"Action, Adventure, Sci-Fi",42.0,6.2,"372,881",tt1399103,39
193,"The Twilight Saga: Breaking Dawn, Part 1","[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",11 wins & 22 nominations.,PG-13,117 min,"Action, Adventure, Drama, Fantasy, Romance, Thriller",45.0,4.9,"213,657",tt1324999,22
194,The Hangover Part II,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",5 wins & 18 nominations.,R,102 min,Comedy,44.0,6.4,"445,400",tt1411697,18
195,Pirates of the Caribbean: On Stranger…,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",3 wins & 31 nominations.,PG-13,136 min,"Action, Adventure, Fantasy",45.0,6.6,"460,865",tt1298650,31
